address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"941, 3rd FLOOR, 21st Main, 22nd Cross, Banashankari 2nd stage, Opposite to BDA complex, Banashankari",Cafe Shuffle,Yes,Yes,4.2,150.0,+91 9742166777,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Cafes
"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,Yes,Yes,4.2,164.0,+91 9731644212,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0,Cafes
"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,No,No,4.0,424.0,080 49577715,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0,Cafes
"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,Yes,No,3.8,918.0,+91 9663487993,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Cafes
"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,Yes,No,3.8,90.0,"080 26768182
+91 9845704455",Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Cafes
"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,Yes,No,3.9,133.0,"+91 9972988038
+91 9900121238",Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes
"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,Yes,No,3.8,144.0,"080 26711554
+91 9741406338",Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0,Cafes
"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,No,No,3.9,93.0,+91 8884726600,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0,Cafes
"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,Yes,No,3.0,62.0,"+91 9880016665
+91 8217311687",Banashankari,Cafe,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea","Cafe, French, North Indian",400.0,Cafes
"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,Yes,No,3.7,180.0,+91 7406822844,Banashankari,Cafe,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages",500.0,Cafes
"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,Yes,No,3.6,62.0,"080 65975430
+91 7337733798",Banashankari,"Quick Bites, Cafe","Pasta, Iced Tea","Italian, Fast Food, Cafe, European",600.0,Cafes
"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,No,No,3.8,148.0,"080 26600704
+91 9342593424",Basavanagudi,"Casual Dining, Cafe","Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes
"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,Yes,No,4.0,219.0,+91 9148421256,Basavanagudi,Cafe,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam","Cafe, Italian",600.0,Cafes
 ('Rated 2.0', 'RATED\n  not that much worth'), ('Rated 2.0', 'RATED\n  Delay in delivery'),,, ('Rated 1.0', 'RATED\n  it was not worth the money'), ('Rated 4.0', 'RATED\n  Very nice loved it and ur chat support is really awesome please keep it up love u'), ('Rated 3.0',," don't expect too much from this place.."""")"
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,Yes,No,3.9,172.0,+91 7738383000,Banashankari,Delivery,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",Pizza,750.0,Delivery
 chicken tikka and tandoori sauce.\n\nOverall Experience Was Good, Will Recommend To Everyone.\n\nCheers!!'), ('Rated 5.0', 'RATED\n  This was my second time trying faasos lunch box and the experience was just perfect. Actually this time i ordered a Navratra special thali and it was just perfect in taste and the quantity of box was also enough for 1 person. I love the faasos lunch box..it is the best lunch box available in the market.\nThe delivery was also very fast.'),,, curd, potato, and 2 chapattis. Each and every bite was a bliss. Truly enjoyed this meal! \U0001f929'), ('Rated 5.0', 'RATED\n  Faasos is a perfect place to order some lip smacking fast food.\nI ordered Paneer steak ,, ('Rated 4.5'
"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,Yes,No,3.9,230.0,"+91 7022260661
+91 7022260662",Banashankari,Delivery,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",Biryani,650.0,Delivery
"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,Yes,No,4.2,1647.0,"00 919663567711
+91 9916326323",Banashankari,Casual Dining,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken","Chinese, Thai, Momos",600.0,Delivery
 ('Rated 5.0', 'RATED\n  We enjoyed our dinner, grilled chicken was good, with tandoori roti good combination,,, ('Rated 4.0'," """"RATED\n  The food was good and the ambience was quite impressive too. The service also was up to the mark"," although I wanted to have the buffet but wasn't able to because I was 10 minutes late."""")", ('Rated 4.0'," """"RATED\n  Okay this review is mainly about the shaadi ka biryani (mutton). Lived the taste. We had taken a home delivery of this through zomatogold. No complaints on the service and delivery.\n\nOther than that",, Jayanagar
"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,Yes,No,3.8,133.0,+91 8884232233,Basavanagudi,Quick Bites,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri","Street Food, Fast Food",200.0,Delivery
"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,Yes,No,3.9,286.0,"080 66000666
080 42005285",Banashankari,Quick Bites,"Burgers, Fries, Hot Chocolate","Burger, Fast Food",500.0,Delivery
"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,Yes,No,3.9,540.0,"080 26710070
18602100000",Banashankari,Quick Bites,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos","Pizza, Fast Food",800.0,Delivery
 so I could eat more, and the crust was made amazing also so was the pizza.\nThe service is really good and the place is clean also. All in all wonderful place and another great restaurant part of the franchise.'), ('Rated 4.0', 'RATED\n  Loved the foodie experience here!!!!!! Came here for the name of the week offer and trust me I was disappointed. This whole place has such a good ambience that u l love it instantly.\nCrazy Bangalore rain and Fresh piping hot pizza and the night is sorted!\nUnlimited pizzas,,, they were all so friendly and courteous, never have i had such an experience.\nWhat really makes your food enjoyable is just not the taste but how the person served you!\n\nTop notch guys!!\nComing back for more-offer or no offer ! ?'), ('Rated 5.0', 'RATED\n  This roof top outlet of OnestÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x83ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\xa0 is one of the amazing places to have the best pizzas in and around Banashankari.\n\nNot only the ambience but also the cheerful yet humble service staff catalised my great experience there.\n\nMust try: chat pizza, herbed wedges\n\n#rajeshwrites'),, and off course pizzas .\nThey serve these tiny little desserts which look good . Personal favourite was cheese balls and fish fingers .\nI love the service here itÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s quick even during the offers their service is pretty fast.')
"2nd Stage, Banashankari, Bangalore",Hotboxit,No,No,3.8,36.0,"+91 7026677677
+91 7026577577",Banashankari,Delivery,Prompt Service,"North Indian, Continental, Italian",400.0,Delivery
"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,Yes,No,3.6,244.0,080 49652867,Kumaraswamy Layout,Quick Bites,Biryani,"North Indian, Chinese",300.0,Delivery
"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,Yes,No,4.0,804.0,"+91 8043755256
+91 9886073774",Kumaraswamy Layout,Casual Dining,"Butter Chicken, Noodles, Thali, Biryani","North Indian, Chinese, Biryani, Rolls",450.0,Delivery
"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,Yes,No,3.7,679.0,"080 28606888
080 28606886",Rajarajeshwari Nagar,Casual Dining,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice","Chinese, Thai",850.0,Delivery
"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,Yes,No,3.1,245.0,"+91 8553317408
+91 7899687127",Kumaraswamy Layout,Quick Bites,"Paratha, Pasta","North Indian, Chinese, Momos, Rolls",300.0,Delivery
"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,No,No,4.3,345.0,"080 26713965
+91 9845444155",Banashankari,Dessert Parlor,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse","Ice Cream, Desserts",400.0,Delivery
"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,Yes,No,4.0,618.0,"080 48542442
+91 7337271771",Jayanagar,Casual Dining,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani","Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Delivery
"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,No,No,4.0,1047.0,"080 42024092
080 42274242",Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450.0,Delivery
"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,Yes,No,3.9,627.0,080 40424242,Banashankari,Delivery,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Delivery
 open and airy.'), ('Rated 4.0', 'RATED\n  Love the ambience! This is the place to go if youÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92re looking for authentic oriental food. They have special breakfast menu which is worth a try for everyone! And they make amazing cocktails :)'), ('Rated 4.0',,, veg satay, yakisoba (buckwheat noodles), house wine, wamama special mocktail and to finish fried ice cream. Everything was good.'), ('Rated 5.0',, 'RATED\n  Amazing Asian food and even better place.Its so beautiful and pleasing to the eyes.Has good vibe
 it was good.\nWe then got paneer tikka biriyani, this was amazing, loved it, the flavor of both the paneer tikka and biriyani were very good.\n\nService was good too.\n\nAmbience: 3.5/5\nService: 4/5\nFood: 3/5\nPrice: 4/5\n\nMust try: paneer tikka biriyani'),,, chesse balls and peppy pepper pizza they had the best topings on it?," taste was just amazing and the crust was perfect later we ordered for peppy panner pizza where the taste was good but the crust was watery where we couldn't take and hold it in our hands.\nFully not satisfied nor fully not disappointed."""")", ('Rated 2.0', 'RATED\n  A not so good experience in this restaurant\nAmbience is okay but food taste is not upto mark\nThe curry leaf fried Chicken was soggy & not hot enough.\nCheesy fries was big dampener.. pizza cheese was just mixed with the fries which was way too sticky & fries itself tasted not so great.\nThe only solace was Thin crust Chicken supreme pizza which was good.\nService was quite slow. To get the starters it took almost 30 min.'), ('Rated 3.0',, so came here to try.\n\nWe got cheese balls
"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,Yes,Yes,3.6,163.0,080 49653548,Kumaraswamy Layout,Casual Dining,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken","Goan, Seafood, North Indian, Chinese, Biryani",800.0,Delivery
"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,No,Yes,4.0,808.0,"080 26791213
+91 9739989446",Banashankari,Casual Dining,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup","North Indian, Chinese",850.0,Delivery
"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,Yes,No,4.1,1720.0,080 26570381,Basavanagudi,Quick Bites,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls","North Indian, Kebab, Chinese, Fast Food",400.0,Delivery
"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,No,No,4.1,868.0,080 49653521,Banashankari,Pub,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings","Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,Delivery
"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,No,No,4.1,520.0,+91 7010846043,Banashankari,Quick Bites,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani","Biryani, Chinese, Kebab",300.0,Delivery
 ('Rated 3.5', 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon'), ('Rated 5.0'," """"RATED\n  Life saver at night!\nI woke up at 2 PM last time and decided to try out this interestingly named place. Ordered a kit kat shake",,, 'RATED\n  Top Class Taste, even Better Service in the middle of night #LSD Great Work. Best option for the night owls\nPS. Love the Pasta and garlic bread combo.'), ('Rated 4.0', 'RATED\n  Exhaustive mouth watery menu , well-cooked and packaged  \nFriendly delivery guys ,, 'RATED\n  Great food for nocturnes.with very courteous management..delivery is also fairly quick..my only suggestion is to please introduce online order\nThat will be a very wise step considering the demonetisation.\nAll in all great job ?')
"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,No,No,3.6,299.0,"+91 9071734101
+91 9071496800",Banashankari,Quick Bites,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll","Fast Food, Rolls, Momos",300.0,Delivery
"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558.0,"+91 9448305384
+91 9060079480",Basavanagudi,Quick Bites,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",South Indian,150.0,Delivery
"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,No,No,3.8,39.0,"+91 9164571705
080 26760336",Banashankari,Quick Bites,Masala Dosa,"South Indian, Chinese, North Indian",350.0,Delivery
"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,Yes,No,4.2,146.0,080 48664811,Banashankari,Beverage Shop,"Berryblast, Waffles, Cheesecake, Salted Caramel","Beverages, Desserts, Ice Cream",400.0,Delivery
"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,Yes,No,4.4,4401.0,080 49653564,Jayanagar,Casual Dining,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita","Biryani, North Indian, Chinese",600.0,Delivery
"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,No,No,2.6,283.0,"080 26890011
080 26890033",Banashankari,Casual Dining,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",North Indian,600.0,Delivery
"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,No,No,3.3,62.0,"+91 9845063930
+91 7411148111",Banashankari,Bar,Chilli Chicken,"South Indian, North Indian, Chinese",800.0,Delivery
"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,No,No,3.7,65.0,+91 7619353103,Banashankari,Quick Bites,"Panipuri, Chaat, Noodles, Dahi Bhalle","Fast Food, Street Food",300.0,Delivery
"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,Yes,No,3.8,71.0,080 49652725,Basavanagudi,Dessert Parlor,Hot Chocolate Fudge,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Delivery
"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,No,No,3.5,52.0,"080 42112211
+91 9880412211",Banashankari,Quick Bites,Rooftop Ambience,South Indian,300.0,Delivery
"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,No,No,3.7,130.0,+91 9964410276,Banashankari,Quick Bites,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",South Indian,200.0,Delivery
"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,No,No,3.8,45.0,"+91 9845552266
+91 9845552288",Banashankari,"Takeaway, Delivery","Cup Cake, Chocolate Cake",Bakery,400.0,Delivery
"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,Yes,No,4.1,201.0,+91 9740180090,Banashankari,Quick Bites,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli","South Indian, North Indian, Chinese, Street Food",300.0,Delivery
"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,Yes,No,4.0,771.0,+91 9620009302,Banashankari,Casual Dining,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa","South Indian, North Indian, Chinese",450.0,Delivery
"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,No,No,3.0,98.0,+91 8861271465,Banashankari,Bar,"Paneer Tikka, Dal Kichadi, French Fries","North Indian, Chinese",800.0,Delivery
"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,Yes,Yes,4.1,175.0,+91 9916866033,Jayanagar,Casual Dining,"Filter Coffee, Masala Dosa, Idli, Vada","South Indian, North Indian, Chinese, Beverages",500.0,Delivery
"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",House Of Kebabs,Yes,No,3.8,540.0,080 49653042,Basavanagudi,Casual Dining,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice","North Indian, Kebab, Biryani, Chinese",650.0,Delivery
"608, 21st Cross, Kumaraswamy Layout, Bangalore",Roll N Rock,Yes,No,3.8,124.0,+91 9590941992,Kumaraswamy Layout,Quick Bites,"Rolls, Paratha, Chicken Biryani","Chinese, North Indian, Mughlai, Rolls",400.0,Delivery
"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",BOX8- Desi Meals,Yes,No,4.1,340.0,022 33552698,Banashankari,"Takeaway, Delivery","Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad","North Indian, Mughlai, Fast Food",500.0,Delivery
"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",KFC,Yes,No,3.8,505.0,080 33994444,Banashankari,Quick Bites,"Burgers, French Fries","Burger, Fast Food",450.0,Delivery
"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",Roll Over,Yes,No,4.1,438.0,"+91 8884942976
+91 8884942900",Jayanagar,Dessert Parlor,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Delivery
"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",Imperial Restaurant,Yes,No,3.7,264.0,"+91 7338431313
080 26741313",Mysore Road,Casual Dining,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken","North Indian, Chinese, Biryani, Beverages",750.0,Delivery
"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",Wahab,Yes,No,3.7,97.0,+91 9845088001,Jayanagar,Quick Bites,"Chicken Biryani, Rolls","North Indian, Mughlai, Chinese",350.0,Delivery
"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",Canton,Yes,No,3.6,195.0,"080 41410069
+91 9611320069",Jayanagar,Casual Dining,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop","Chinese, Seafood, Biryani",800.0,Delivery
"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",The Blue Wagon - Kitchen,Yes,No,4.6,228.0,"+91 8105485007
+91 8095904280",Jayanagar,Cafe,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich","Cafe, Beverages",400.0,Delivery
"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Patio 805,Yes,Yes,4.1,364.0,+91 8884999805,Jayanagar,Casual Dining,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad","Thai, Vietnamese, Asian, Chinese",1200.0,Delivery
"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",Lassi Corner,Yes,No,3.7,107.0,"+91 9972348689
+91 7204756477",Basavanagudi,Beverage Shop,Lassi,"Beverages, Ice Cream",150.0,Delivery
